GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dashboard,com.hospital.dashboard.controller,ChatController,0,30,1,3,0,6,1,3,0,2
dashboard,com.hospital.dashboard.controller,PersonnelController,65,16,0,0,16,3,2,3,2,3
dashboard,com.hospital.dashboard.controller,MedicationController,0,39,0,0,0,9,0,3,0,3
dashboard,com.hospital.dashboard.controller,ConsumableController,0,39,0,0,0,9,0,3,0,3
dashboard,com.hospital.dashboard.controller,PatientController,0,35,0,0,0,8,0,3,0,3
dashboard,com.hospital.dashboard.controller,BaseController,0,24,0,0,0,6,0,5,0,5
dashboard,com.hospital.dashboard.controller,DashboardController,0,7,0,0,0,2,0,2,0,2
dashboard,com.hospital.dashboard.controller,CustomAIController,0,17,0,0,0,4,0,2,0,2
dashboard,com.hospital.dashboard.controller,AuthController,0,47,2,4,0,9,2,3,0,2
dashboard,com.hospital.dashboard.controller,MedicalActController,0,39,0,0,0,9,0,3,0,3
dashboard,com.hospital.dashboard.controller,ForecastController,7,3,0,0,2,1,2,1,2,1
dashboard,com.hospital.dashboard.controller,StayController,0,43,0,0,0,10,0,4,0,4
dashboard,com.hospital.dashboard.config,DataSeeder,0,667,2,22,0,91,2,24,0,13
dashboard,com.hospital.dashboard.config,WebConfig,0,3,0,0,0,1,0,1,0,1
dashboard,com.hospital.dashboard.config,CorsConfig,0,129,0,0,0,10,0,2,0,2
dashboard,com.hospital.dashboard.service,OpenAiService,26,115,9,7,8,28,8,3,0,3
dashboard,com.hospital.dashboard.service,ChatService,5,314,10,14,3,64,10,9,0,7
dashboard,com.hospital.dashboard.service,CustomAIService.Language,0,15,0,0,0,2,0,1,0,1
dashboard,com.hospital.dashboard.service,CustomAIService,107,1441,33,63,21,178,29,40,2,19
dashboard,com.hospital.dashboard.service,DashboardService,65,705,26,44,10,138,26,35,1,25
dashboard,com.hospital.dashboard.service,RevenueService,0,47,2,6,0,11,2,5,0,3
dashboard,com.hospital.dashboard.service,ForecastServiceV2,140,823,27,59,16,172,26,25,0,8
dashboard,com.hospital.dashboard,DashboardApplication,5,3,0,0,2,1,1,1,1,1
